20240208	14:38:54	c9a02cbe-7b69-420a-bcd6-6fa517d21e86	/new-page	GET
20240208	14:38:54	7d637cdb-e454-4584-b72d-d6b71ab84e45	/img/clouds-cloudy-countryside-236047.jpg	GET
20240208	14:38:54	3c92d79d-2d13-469d-81ec-00087cc9c0c3	/favicon.ico	GET
20240208	14:40:37	c673fcde-e67d-4ecb-ae5e-1e36102c755f	/new-page	GET
20240208	14:41:50	940735dd-e314-43cb-a80c-de1601b380ad	/new-page	GET
20240208	14:41:50	2323d184-e307-40c0-a2e8-930eac3fe1ab	/img/clouds-cloudy-countryside-236047.jpg	GET
20240208	15:12:27	3170ca24-747b-4790-93b4-cdc4585d57f0	/old-page.html	GET
20240208	15:12:27	043e34bd-a798-41d2-81c5-3e07c070687f	/new-page.html	GET
20240208	15:12:27	2962da6a-ca8b-4553-8ea5-8ff23af9d73a	/img/clouds-cloudy-countryside-236047.jpg	GET
20240208	15:13:13	10c7fc2a-937e-40cf-aef5-35cb89dedbf9	/new-page.html	GET
20240208	15:13:13	2340cb33-7502-4390-8777-14a84e3c4b32	/img/clouds-cloudy-countryside-236047.jpg	GET
20240208	15:13:27	f40c4cf1-102e-4198-82a9-7ddea272d54c	/img/clouds-cloudy-countryside-236047.jpg	GET
20240208	15:13:31	3ffe2b4d-9751-41ef-900c-cb823f2168a6	/new-page.html	GET
20240208	15:13:31	610fd88d-cc74-4c79-af1b-1c479ab7cccd	/img/clouds-cloudy-countryside-236047.jpg	GET
20240208	15:23:20	cd9dfe86-62be-47c4-a977-eaee97806dae	/	GET
20240208	15:26:37	a99b9b3f-d60d-4eee-ada5-79770b93d663	/new-page	GET
20240208	15:26:37	390aac1a-42bc-4518-8bab-d544dcff2c82	/img/clouds-cloudy-countryside-236047.jpg	GET
20240217	11:44:12	8f9c72a7-9131-4654-b0f5-55d3c70c6e1d	GET	 undefined	 /css/style.css
20240217	12:05:24	001f59f1-4545-4c85-b30d-d43676b17a14	GET	 undefined	 /
20240217	12:05:24	04b71c9b-06b6-4830-b913-3a751d1d5ef4	GET	 undefined	 /css/style.css
20240217	12:05:59	7353f527-4aac-41ab-a926-ebcf2a0c0680	GET	 undefined	 /subdir
20240217	12:07:09	80e6b139-bf36-4075-a932-bab3126ced59	GET	 undefined	 /subdir
20240217	12:07:21	a265a736-3fe4-4ae4-88bc-993bd69b9db3	GET	 undefined	 /subdir/test
20240217	12:22:09	eb09c7b7-42b9-41d8-88ae-d4a1af92ede1	GET	 undefined	 /subdir/dave
20240217	12:22:09	ca3a42c9-f41d-4477-9140-496d176de0d6	GET	 undefined	 /css/style.css
20240219	14:48:10	b33884a5-cf50-4598-8df2-4d2247c0a104	GET	 undefined	 /
20240219	14:48:10	473d17d9-c166-498c-a32a-e4216e2d552a	GET	 undefined	 /css/style.css
20240219	14:48:10	12dabe1b-53a4-412d-b871-92912cb527c9	GET	 undefined	 /favicon.ico
20240219	14:48:18	a9af0b69-486d-4eeb-a238-d125b90fe29c	GET	 undefined	 /
20240219	14:48:18	5b119ac1-57b8-48a3-8bd0-cf5aea8c9dc3	GET	 undefined	 /css/style.css
20240219	14:48:29	9b1a5ee0-3274-4df4-9a56-f5bc0c561a40	GET	 undefined	 /new-page
20240219	14:48:29	e49515bd-e000-4cee-a7a6-aa60778294de	GET	 undefined	 /css/style.css
20240219	14:48:29	85051fe1-5594-4868-a738-8960b3fd9399	GET	 undefined	 /img/img1.jpg
20240219	15:03:09	1aeaf544-e738-45f5-bbb8-5eeabb1c38fe	GET	 undefined	 /employees
20240219	15:03:35	22be2fcc-60df-42a8-bedd-2b4874853c84	GET	 undefined	 /employees
20240219	15:03:58	fd2758a2-5c85-4c0b-a6e6-1e7f27ccf5c1	GET	 undefined	 /employees
20240219	15:05:35	5fcc9caf-23a5-4503-80e2-d24375a8d518	POST	 undefined	 /employees
20240219	15:05:51	a079d219-acc8-4386-b24b-e9b52a97328a	GET	 undefined	 /employees
20240219	15:06:11	6396064a-3528-473c-bcad-ccba8c08ee28	POST	 undefined	 /employees
20240219	15:07:33	4de99a31-b3a5-4860-809f-793ad5f09a24	POST	 undefined	 /employees
20240219	15:07:38	78af88a3-136d-4d89-aca9-7547c6b6f185	GET	 undefined	 /employees
20240219	15:10:33	8db1e01d-b55a-4854-94ad-f8323cc0f0f0	PUT	 undefined	 /employees
20240219	15:11:01	a0d105a7-848c-492a-b488-71a2a0967d75	GET	 undefined	 /employees
20240219	15:11:46	713bb254-49be-4b8b-925f-87256e83f165	POST	 undefined	 /employees
20240219	15:12:03	c1bbffbf-2244-4923-a783-0dd68c34198c	PUT	 undefined	 /employees
20240219	15:12:36	2e26a68f-710e-487f-967a-1e5313a828cc	DELETE	 undefined	 /employees
20240219	15:12:43	837025ce-3f84-484e-9c05-e12e38f3fd53	DELETE	 undefined	 /employees
20240219	15:13:20	16a4fa31-58ab-422c-967e-ebda709a61c0	GET	 undefined	 /employees/1
20240219	15:13:34	452b55d8-fe99-4965-af60-d618e91f2a0f	GET	 undefined	 /employees/1
